id,title
2008-09/eu-sfh092208,Study findings help EMS respond to cardiac arrest emergencies more safely and efficiently
2008-09/jaaj-cce082808,"Children's calorie expenditure, heart rate increase during active video games"
2008-09/jaaj-cda092508,"Changing dosing, administration of anthrax vaccine reduces side effects"
2008-09/jaaj-crd091808,Calorie restriction does not appear to induce bone loss in overweight adults
2008-09/jaaj-dca082808,Depression common among Rwandan youth who head households
2008-09/jaaj-hbp090508,High blood pressure after stroke should not necessarily rule out use of clot-busting treatment
2008-09/jaaj-hpf082808,Hospitals provide formula sample packs while medical organizations encourage breastfeeding
2008-09/jaaj-mhb091808,Model highlights benefits and risks of cervical cancer screening methods
2008-09/jaaj-nmo092508,News media often do not report potential sources of bias in medical research
2008-09/jaaj-psh082808,PET scans help identify mechanism underlying seasonal mood changes
2008-09/jaaj-sec091808,Study examines cost-effectiveness of HIV monitoring strategy in countries with limited resources
2008-09/jaaj-sfw091808,Study finds wide variability in survival after emergency treatment for cardiac arrest
2008-09/plos-bsi092508,Birth size is a marker of susceptibility to breast cancer later in life
2008-09/plos-sno091008,Small numbers of patients with drug-resistant TB may account for high proportion of new infections
2008-09/sonm-psl082508,PET scans lead to treatment changes in majority of colorectal cancer patients
2008-09/uoi-esc091508,Embryonic stem cells might help reduce transplantation rejection
2008-09/uomh-slm091908,Saving lives more efficiently: Cardiac arrest study may help EMS and ERs
2008-09/w-tse091008,Tsunami survivors experienced complex trauma and grieving process says new study
2008-09/wfub-pct091808,"Popular COPD treatment increases risk for cardiac events, cardiac death"
2008-09/wjog-ana_1092308,A novel attempt of gene therapy for type 1 diabetes mellitus
2008-09/wjog-app092308,A promising possibility for the treatment of the esophageal carcinoma
2008-09/wjog-wga092308,"Why does Gecko, a chinese traditional medicine, have anti-tumor effects?"
2008-09/wjog-wit_3092308,What is the risk factor for severe clostridium difficile-associated diarrhea?
2008-10/arrs-fje092408,Facet joint effusion and interspinal ligament edema: major sources of lower back pain
2008-10/dci-shb100308,"Study highlights benefits of end-of-life conversations for patients, caregivers"
2008-10/e-sfg102308,Study finds genomic changes in the brains of people who commit suicide
2008-10/hms-caa100308,Children's asthma affected by parental expectations
2008-10/jaaj-csr100908,Cancer screening rates among older Medicaid patients fall short of national objectives
2008-10/jaaj-daa100908,Drinking alcohol associated with smaller brain volume
2008-10/jaaj-sdm100208,Simpler diagnostic method may be as effective at detecting blood clot in the leg
2008-10/jaaj-sep100908,Sunlight exposure plus low antioxidant levels may place older adults at risk for eye disease
2008-10/w-hcc101608,High-altitude climbing causes subtle loss of brain cells and motor function
2008-10/wjog-eap103108,Estrogen and progesterone receptor isoforms expression in the stomach of Mongolian gerbils
2008-11/acs-pia111208,Psychological interventions associated with breast cancer survival
2008-11/bc-njs110308,New journal shows half-broken gene is enough to cause cancer
2008-11/bmj-csa110308,Consuming small amounts of caffeine when pregnant may affect the growth of an unborn child
2008-11/jaaj-dmi112008,"Diabetes medications in same class carry different risks of heart failure, death"
2008-11/jaaj-iom111308,Indigo ointment may help treat patients with psoriasis
2008-11/jaaj-tcm112008,Telephone counseling may be as effective as face-to-face counseling in weight loss maintenance
2008-11/plos-nsf112008,New study finds publication bias among trials submitted to FDA
2008-11/rc-sif102808,Study is first to link viewing of sexual content on TV to subsequent teen pregnancy
2008-11/tes-hth110408,Hormone therapy helps short children grow up
2008-11/uom-ctm111308,Cancer treatment may result in bone loss
2008-11/w-gds110408,Genetic disorder sheds light on enzyme's role in bone metabolism
2008-11/w-psf112408,Pregnancy study finds strong association between two antidepressants and heart anomalies
2008-12/acs-ecc121708,Eligibility criteria contribute to racial disparities in hospice use
2008-12/acs-sph120308,State policies have little effect on reducing minors' indoor tanning use
2008-12/arrs-ccn120108,"Coronary CTA: Noninvasive, low cost alternative for 'intermediate risk' patients"
2008-12/arrs-mcc120108,Multidetector CT cystography accurately detects urine leaks after prostatectomy
2008-12/bc-way122208,Who are you kidding?
2008-12/cums-da121608,'Don't drink and ride': Improving subway safety
2008-12/esoc-pal120908,"Panic attacks linked to higher risk of heart attacks and heart disease, especially in younger people"
2008-12/esoc-pal121808,"Panic attacks linked to higher risk of heart attacks and heart disease, especially in younger people"
2008-12/jaaj-afm120408,Age-related farsightedness may affect more than 1 billion worldwide
2008-12/jaaj-mut120408,Medication used to reduce nausea following tonsillectomies linked with increased risk of bleeding
2008-12/jaaj-oom120408,Occurrence of major eye disease projected to increase among patients with diabetes
2008-12/jhub-mhp122308,Maternal health problems in Myanmar widespread
2008-12/plos-cpp120208,China's paradoxical policies on HIV and drug use threaten health
2008-12/plos-pmh121608,Poor maternal health care widespread in eastern Burma
2008-12/sonm-nsc111908,Nationwide study confirms PET as the most powerful imaging tool in cancer management
2008-12/uoe-ssl120808,Study sheds light on cause of bowel disease
2008-12/uom-rds120408,Researcher develops screening tool to identify patients with prediabetes
2008-12/uomh-dri121008,"Death rates in hospital highest for infants, and children without insurance"
2008-12/wjog-abi122208,A breakthrough in diagnosis of enteric lesions
2009-01/acs-slo123108,Study links obesity to elevated risk of ovarian cancer
2009-01/apta-rsm012809,Report shows motor control exercises reduce persistent low-back pain
2009-01/bmj-nst010809,Newborn screening test could increase early detection of heart disease and save lives
2009-01/chb-mbw010609,Most babies with uncomplicated febrile seizures can avoid spinal tap
2009-01/dai-scd012909,Sudden cardiac death without recognizable cause
2009-01/eu-ssr011609,Study shows rise in antibiotic resistant pediatric head and neck infections
2009-01/iu-pam011409,"Physical activity, mood and serious mental illness"
2009-01/jaaj-jsa010809,Job strain associated with stroke in Japanese men
2009-01/jaaj-sce012209,Study compares exercise regimens for obese older adults
2009-01/jaaj-tei010809,Treadmill exercise improves walking endurance for patients with peripheral arterial disease
2009-01/jhmi-ssc012309,Statewide study confirms 'paperless' hospitals are better for patients
2009-01/jotn-htf010809,HPV testing followed by cytology and repeat HPV testing may improve cervical cancer screening
2009-01/oup-aad012709,Anxiety and depression do not affect pregnancy and treatment cancellation rates
2009-01/plos-ikf011309,Impaired kidney function raises risk of heart problems in the elderly
2009-01/plos-ruf123008,Removing user fees does not improve health outcomes in Ghana
2009-01/ru-erd012709,Easing regulations does not mean lower quality of cardiac care
2009-01/tes-sdp010909,Smoking during pregnancy may impair thyroid function of mom and fetus
2009-01/ucl-pam010909,People are more suggestible under laughing gas
2009-01/uoc--hcm013009,Household chemicals may be linked to infertility
2009-01/uom-gyc011909,Growing years cut short for toddlers from poor families
2009-01/uomh-msa011409,Most support Alzheimer's research based on family consent
2009-01/w-csp012909,Chondroitin slows progression and relieves symptoms of knee osteoarthritis
2009-01/w-esa011409,Economic status affects obesity rates in Mexican-American and white women
2009-01/w-fsa012609,Frequent sex and masturbation in 20s and 30s linked to higher prostate cancer risk
2009-01/w-gqs011309,Greater quadriceps strength may benefit those with knee osteoarthritis
2009-01/w-mvm012109,Measles virus may be effective prostate cancer treatment
2009-02/aaon-ado021709,Aneurysms don't occur earlier in second generation
2009-02/acs-pko021909,Patient knowledge of health information influences cancer treatment
2009-02/bc-ttd021809,TB treatment delays in Taiwan
2009-02/chop-hmu020209,"Heavy marijuana use may damage developing brain in teens, young adults"
2009-02/e-lwh022409,Living wills have an impact on pre-hospital lifesaving care
2009-02/esoc-sdb022309,SYNTAX defines borders between CABG and PCI with TAXUS drug-eluting stents
2009-02/jaaj-ost020509,Ongoing statin therapy associated with lower risk of death
2009-02/jaaj-vba021909,Vitamin B and folic acid may reduce risk of age-related vision loss
2009-02/jotn-rmt020509,Rituximab maintenance therapy improves survival in patients with relapsed follicular lymphoma
2009-02/s-cdf021709,College-level documents for 8th grade readers
2009-02/uoc--bbd022009,Babies born during high pollen and mold seasons have greater odds of wheezing by age 2
2009-02/uoe-fbs021009,First brain study reveals benefits of exercise on quitting smoking
2009-02/w-cmm020209,Controversial medication may decrease spasms for infants with epilepsy
2009-02/w-edf022509,Ethnic differences found for fatty liver disease and insulin resistance
2009-02/w-lta022509,Liver tumors associated with metabolic syndrome differ from other tumors
2009-02/w-srh020209,"Study reviews health risks, economic burden of migraine"
2009-02/wuso-adn021709,Asthma drugs need to be maintained for continued benefit
2009-03/acoc-cov032009,Combination of very low LDL and normal systolic blood pressure attenuate coronary artery disease
2009-03/acs-ddm030309,DNA differences may influence risk of Hodgkin disease
2009-03/aeco-fh030309,'Pre-diabetics' face heightened risk of heart disease
2009-03/aeco-ntc031909,New test may predict spread of breast cancer
2009-03/arrs-map030309,MRI and PET/CT improve cervical cancer patient's chances for optimal treatment
2009-03/ason-faw031309,Factors associated with decline in child kidney function identified
2009-03/ason-mqo030309,Measuring quality of life in patients with hereditary kidney disease
2009-03/ason-ndi030309,New database important resource in caring for dialysis patients
2009-03/chop-dro032409,Don't rely on jaundiced eye for assessing newborns
2009-03/ghcc-cse030209,Chantix side effects no worse with depression history
2009-03/jaaj-aam022609,"Alcohol abuse may lead to depression risk, rather than vice versa"
2009-03/jaaj-his030509,Health insurance status associated with frequency of eye care visits
2009-03/jaaj-oaw031209,Obesity associated with worse outcomes after pancreatic cancer surgery
2009-03/jaaj-rig031909,Recently identified genetic heart disorder often deadly for young patients
2009-03/jaaj-sla022609,Swimming lessons associated with reduced risk of drowning in toddlers
2009-03/jaaj-snw031209,Steroid nasal wash appears to improve health of patients with chronic rhinosinusitis
2009-03/jaaj-yaw022609,Young adults with post-traumatic stress disorder may be more likely to attempt suicide
2009-03/jotn-tcc031909,3-drug chemotherapy combination increases organ preservation in patients with larynx cancer
2009-03/msu-eti031909,Exposure to insecticide may play role in obesity epidemic among some women
2009-03/oup-aot030209,Alcohol on TV makes people drink more
2009-03/plos-wsp022509,WHO standards predict death in malnourished children more accurately than other measurements
2009-03/tuhs-mai030309,Moderate alcohol intake associated with bone protection
2009-03/uom-tco033109,Teens cool off from sports with each succeeding winter
2009-03/w-ids030209,"Insulin drug study shows significant improvements in more than 52,000 diabetic patients"
2009-03/w-pei030509,Penile extender increased flaccid length by almost a third says independent clinical study
2009-03/w-see033009,Study examines effect of heart surgery on employment
2009-03/w-smo032509,Study: Morbidly obese sedentary for more than 99 percent of day
2009-03/w-ssf032309,Surgery safe for babies and toddlers suffering from seizures
2009-03/w-tbw030909,Teenage boys who eat fish at least once a week achieve higher intelligence scores
2009-03/wjog-anm033009,A new molecular marker of gastric cancer
2009-03/wjog-apt033009,A potential therapeutic strategy for hepatic failure
2009-03/wjog-wai030309,Why does aspirin increase the susceptibility of Helicobacter pylori to antimicrobials?
2009-03/wt-mdm031709,Most detailed malaria map ever highlights hope and challenges facing global community
2009-04/acoc-dah040709,Depression after heart disease ups risk of heart failure
2009-04/arrs-cbm040309,Computer based model helps radiologists diagnose breast cancer
2009-04/ason-pih032709,Procedure improves health of cancer patients
2009-04/bmj-scs042309,Should cervical screening stop at age 50?
2009-04/e-tab042309,Treating addiction by eliminating drug-associated memories
2009-04/e-ttm042309,Throwing the micro switch: MicroRNA may link smoking risk gene to neurobiology of addiction
2009-04/esoc-eff042009,Eating fatty fish and marine omega-3 fatty acids may reduce risk of heart failure
2009-04/esoc-eii042709,Excessive increase in heart rate before exercise doubles risk of sudden cardiac death in later life
2009-04/jaaj-aas040909,Aspirin and similar drugs may be associated with brain microbleeds in older adults
2009-04/jaaj-fih040909,Former inmates have increased risk of high blood pressure
2009-04/jaaj-ror041609,Remote or rural residence not associated with increased time to kidney transplantation
2009-04/jaaj-sif041609,Survey identifies factors associated with early detection of melanoma in older men
2009-04/jaaj-tnt040209,2 nondrug treatments appear to reduce depression after heart surgery
2009-04/jaaj-top041609,Type of physician certification associated with risk of complications from ICDs
2009-04/jhub-bca040209,Beverage consumption a bigger factor in weight
2009-04/kcl-pcs042209,Palliative care skills training needed for health-care staff in sub-Saharan Africa
2009-04/osu-ord040209,Obesity rates differ among racial/ethnic groups in kids as young as 4
2009-04/uomh-hcp040109,"Health choices predict cancer survival, U-M study finds"
2009-04/w-ado042809,Arterial disease of the leg frequently overlooked in patients with heart disease
2009-04/w-dis043009,Decrease in sense of smell seen in lupus patients
2009-04/w-mod042209,Majority of doctors skeptical of organ transplantation practices in China
2009-04/w-oca040709,Oral contraceptives associated with increased risk of lupus
2009-04/w-pso043009,Pandemic study of 1918-1919 outbreak provides background and death rates for 14 European countries
2009-04/wfub-pme042209,"PDAs, more education help doctors follow cholesterol treatment guidelines"
2009-05/acs-aaw051809,African-American women with advanced breast cancer often forego vital treatment
2009-05/acs-ymw051809,Younger men with advanced prostate cancer have shorter survival times
2009-05/arrs-3md050509,3T MRI detects 'early' breast cancer not seen on mammography and sonography
2009-05/arrs-bmd052209,Breast MRI detects additional 'unsuspected' cancers not seen on mammography or ultrasound
2009-05/arrs-csi050509,CT scans increase cancer risk estimates in multiply-imaged emergency department patients
2009-05/bc-sfw051109,Swine flu: What does it do to pigs?
2009-05/bc-ucc051309,Urgent care centers: Between the ER and the family doctor
2009-05/cu-bta052109,Blood tests and better communication skills could cut over-prescribing of antibiotics
2009-05/dai-kdn052909,Knock-out drugs: Narrow window for detection
2009-05/jaaj-aat050709,Aspirin appears to help lower risk of stroke for patients with peripheral artery disease
2009-05/jaaj-aed050709,Age-related eye disease may be associated with cognitive impairment
2009-05/jaaj-bcf051409,"Better cardiorespiratory fitness related to lower risk of death, cardiovascular disease"
2009-05/jaaj-bmc051409,Bone marrow cell therapy may be beneficial for patients with ischemic heart disease
2009-05/jaaj-cis050709,Compounds in spinal fluid associated with faster decline among individuals with mild dementia
2009-05/jaaj-ipr043009,Infants' pain response to immunization varies based on which vaccine is first
2009-05/jaaj-isf043009,Imaging study finds evidence of brain abnormalities in toddlers with autism
2009-05/jaaj-lah050709,Low and high levels of hormone in men with heart failure associated with increased risk of death
2009-05/jaaj-oao050709,Older adults often inaccurately report their own stroke history
2009-05/jaaj-poo050709,Policies on organ donation after cardiac death vary considerably among children's hospitals
2009-05/jaaj-ras050709,Real and simulated acupuncture appear more effective than usual care for back pain
2009-05/jaaj-saf051409,Substance abuse factor in higher risk of violent crime by persons with schizophrenia
2009-05/jaaj-set051409,Study examines trends in gallbladder cancer over 4 decades
2009-05/jaaj-spi050709,Small promotional items from drug companies may influence medical students' attitudes
2009-05/jaaj-uoa052109,Use of acid-suppressive medications associated with increased risk of hospital-acquired pneumonia
2009-05/plos-nmo051409,Novel mechanism of action of corticosteroids in allergic diseases
2009-05/plos-pfa050609,Preconceptional folic acid supplements are associated with reduced risk of premature birth
2009-05/tes-bda052709,Breastfeeding duration and weaning diet may shape child's body composition
2009-05/uoh-ean051409,Early and network-oriented care may help adolescents at risk of developing psychosis
2009-05/uom-mis052909,Minimally invasive stroke treatment produces better patient outcomes than surgical operation
2009-05/uorm-hcr051909,"HRT-breast cancer risk stays same, regardless of family history"
2009-05/w-lto051109,Less than 1 in 5 heart problems are diagnosed before symptoms appear
2009-05/w-qol051209,Quality of life survey highlights need for holistic approach in elderly residential care
2009-05/wjog-aea052209,An efficient approach to monitor gastrointestinal microflora changes
2009-05/wjog-anm052209,A novel marker of colorectal carcinoma
2009-05/wjog-idf050709,Is dephytinization from infant cereals beneficial to the nutrition absorption?
2009-06/acs-mbc060309,Many breast cancer patients take high doses of antioxidants despite possible consequences
2009-06/arrs-mal060309,MDCT angiography leads to successful treatment of severely blocked arteries in the legs
2009-06/arrs-rfa063009,Researchers find a way to reduce patient radiation dose during pulmonary CT angiography
2009-06/ason-nho061209,Nearly half of older patients projected to die while waiting for kidney transplant
2009-06/cumc-nfe061709,New findings encourage more vigilant monitoring of seizure activity among intensive care patients
2009-06/cums-mbc060609,Many breast cancer patients take high doses of antioxidants despite possible consequences
2009-06/jaaj-bwi060409,Boys with intermittent eye deviation appear more likely to develop mental illness
2009-06/jaaj-cbi052809,Cognitive behavioral intervention helps prevent depression among at-risk teens
2009-06/jaaj-cra052809,Changing residences associated with increased risk of suicidal behavior among children
2009-06/jaaj-lsa060409,"Less sleep associated with high, worsening blood pressure in middle age"
2009-06/nioa-sdn060309,Scientists discover new genetic immune disorder in children
2009-06/tju-njs061009,New Jefferson study may redefine how a chronic autoimmune disease is diagnosed
2009-06/w-aod061009,Availability of diagnostic tests drive success in hospitalist-run short-stay units
2009-06/w-ced060409,Crowded emergency departments pose greater risks for patients with heart attacks
2009-06/w-csm060109,Cost shifting may make arthritis medications too expensive for medicare beneficiaries
2009-06/w-tci060109,Tai chi improves pain in arthritis sufferers
2009-07/acs-mol072209,Most older long-term cancer survivors have poor health habits
2009-07/acs-sfa072209,"Study finds acceptable levels of anxiety among men living with early, untreated prostate cancer"
2009-07/aha-lsf070209,Long-term survival from abdominal aortic aneurysm repair improving
2009-07/arrs-cci070909,Cardiac CT is more cost effective when managing low-risk patients with chest pain
2009-07/arrs-lcm072209,"Low-dose CT method, delivering 50 percent less radiation, correctly identifies patients with appendicitis"
2009-07/ason-dsf070709,Dialysis safe for kidney patients' heart health
2009-07/bc-mod072109,Misdiagnosis of disorders of consciousness still commonplace
2009-07/oup-scp072709,Study: Cigarette packaging still misleading consumers over health hazards
2009-07/plos-ibm072309,Infiltrating blood-derived macrophages are vital cells in recovery from spinal cord injury in mice
2009-07/sonm-ssp070109,Study shows PET can measure effectiveness of novel breast cancer treatment
2009-07/sumc-oct072209,"Ovarian cancer tests flawed, in need of new design, says Stanford study"
2009-07/w-ias070609,Intimate abuse study finds clear links with poor health and calls for holistic primary care approach
2009-07/w-irt072909,Immune responses to flu vaccine are diminished in lupus patients
2009-07/w-lhu070709,Larger hospital units have lower miscarriage rates after invasive pregnancy tests
2009-08/acs-cpw081909,Cancer patients who are separated when diagnosed have worse survival rates
2009-08/acs-yeo080409,Young early stage ovarian cancer patients can preserve fertility
2009-08/arrs-red080309,Radiation exposure during interventional procedures a concern for some developing countries
2009-08/bc-ckd081909,Chronic kidney disease linked to malfunctioning mitochondria
2009-08/bmj-sti082009,Smokeless tobacco increases risk of heart attack and stroke
2009-08/jaaj-aui073009,Antidepressant use increasing in the United States
2009-08/jaaj-pci081309,Palliative care intervention provides some benefits for patients with advanced cancer
2009-08/jaaj-pdm073009,Preschool depression may continue into childhood
2009-08/jaaj-ppi081309,"Post-treatment pain in head and neck cancer patients linked to recurrence, lower survival rate"
2009-08/jaaj-tse073009,Twin study examines associations between depression and coronary artery disease
2009-08/plos-do072909,Detection of 'prolonged grief disorder' may help bereaved individuals
2009-08/uosc-usf082409,USC study finds changes in DNA patterns are linked to prenatal smoke exposure
2009-08/w-ssd082609,Studies show dramatic decline in rheumatoid vasculitis in US veterans
2009-08/wjog-gei081009,Gallbladder emptying in primary sclerosing cholangitis patients
2009-08/wjog-mbd081009,Metabolic bone disease in cirrhosis patients
2009-08/wjog-po081009,Predictors of disease behavior change in Crohn's disease
2009-08/wjog-rop082509,Reinterpretation of proximal colon polyps called hyperplastic in 2001
2009-08/wuso-rsw082109,Research shows why low vitamin D raises heart disease risks in diabetics
2009-09/acs-iat090809,"Information about the use and accuracy of breast cancer tests is lacking, study finds"
2009-09/acs-mwc092309,More women choosing to remove healthy breast after cancer diagnosis
2009-09/acs-ssf092309,Swiss study finds income affects prostate cancer patients' survival
2009-09/ason-wli091409,Weight loss is good for the kidneys
2009-09/bc-spi092209,"Switch program increases kids' healthy eating, reduces screen time"
2009-09/mali-msr091709,Metabolic syndrome risk factors drive significantly higher health-care costs
2009-09/plos-rob092409,Risk of bone fractures associated with use of diabetes drug
2009-09/uoe-mbb092109,"More babies born prematurely but survival rates up, study shows"
2009-09/w-rae090909,Regular aerobic exercise reduces health concerns associated with fatty liver
2009-09/wuso-yaa091809,Young age at first drink may affect genes and risk for alcoholism
2009-10/acs-pms100909,Prediction model superior to traditional criteria in bladder treatment decision
2009-10/acs-sfd102409,Study finds delay in follow-up among African-American women receiving abnormal breast finding
2009-10/cums-iah100709,Injury and hazards in home health care nursing are a growing concern
2009-10/dai-boa101609,Be overweight and live longer
2009-10/jaaj-cif100909,Critical illness from 2009 H1N1 in Mexico associated with high fatality rate
2009-10/jaaj-hci100909,H1N1 critical illness can occur rapidly; predominantly affects young patients
2009-10/jaaj-smv100109,Surgical masks vs. N95 respirators for preventing influenza among health-care workers
2009-10/jaaj-tco101509,3-day course of antibiotics may be sufficient following tonsillectomy
2009-10/jaaj-uoo101509,Use of omega-3 with treatment for depression in heart disease patients may not provide benefit
2009-10/s-nah102809,Not a healthy state for all Latinos in the US
2009-10/soir-lcr102109,Lifestyle changes remain important in fighting peripheral arterial disease
2009-10/w-eo101409,'Beneficial' effects of alcohol?
2009-10/w-pww102209,Pregnant women who are lesbians want to be treated like any other expectant mother
2009-10/w-toa102809,Teriparatide outperforms alendronate in treating steroid-induced osteoporosis
2009-11/acs-bda110409,Breast density associated with increased risk of cancer recurrence
2009-11/aha-lpa112509,Long-term physical activity has an anti-aging effect at the cellular level
2009-11/ason-sii110309,Small increases in phosphorus mean higher risk of heart disease
2009-11/e-cpc111909,Common plastics chemicals linked to ADHD symptoms
2009-11/esfm-nfo112509,New figures on cancer in Europe show a steady decline in mortality but big variations
2009-11/esoc-edt112609,"Europe's device therapy use for heart failure doubles 2004-2008, some countries have low uptake"
2009-11/jaaj-ets110509,Exposure to several common infections over time may be associated with risk of stroke
2009-11/jaaj-gae102909,Genes and environment may interact to influence risk for post-traumatic stress disorder
2009-11/jaaj-hrc111209,Hospital report cards do not appear to result in significant improvements
2009-11/jaaj-lsd110509,Laser surgery does not appear to have long-term effects on corneal cells
2009-11/jaaj-mio110509,"Mood improves on low-fat, but not low-carb, diet plan"
2009-11/jaaj-npp102909,Nicotine patch plus lozenge appears best for smoking cessation
2009-11/jaaj-sb110509,Reduced muscle strength associated with risk for Alzheimer's
2009-11/jaaj-sea102909,Study examines associations between antibiotic use during pregnancy and birth defects
2009-11/jaaj-ser111209,Surgical errors remain a challenge in and out of the operating room
2009-11/jhmi-eet111209,"Early end to key study on benefits of niacin, a B vitamin, in keeping arteries open was premature"
2009-11/plos-cva111109,Climate variability and dengue incidence
2009-11/plos-roh110409,Risk of hip fracture in postmenopausal women rises steeply with age
2009-11/plos-utp110409,Unravelling the pathology of dementia
2009-11/sri-srs111909,Scripps research scientists find new link between insulin and core body temperature
2009-11/uog-fat112309,Fat around the middle increases the risk of dementia
2009-11/uomh-rfn110609,Researchers find new way to attack inflammation in Graves' eye disease
2009-11/uosc-usf110409,USC study finds big air pollution impacts on local communities
2009-11/w-hua112409,"High unexpressed anger in MS patients linked to nervous system damage, not disease severity"
2009-11/w-mai110309,More action is needed to support millions of tinnitus sufferers worldwide
2009-11/w-oia112309,Osteoarthritis increases aggregate health care expenditures by $186 billion annually
2009-12/ason-apl121409,Are patients losing sleep over blood pressure monitors?
2009-12/ason-mpd120109,Model predicts dialysis patients' likelihood of survival
2009-12/choe-dir121809,Data indicates rising adoption of technology in Canadian clinical trials
2009-12/dai-mtt122309,Modernizing the treatment of sexual dysfunction in men
2009-12/hzm--sca120909,Study confirms association between tobacco smoke and behavioral problems in children
2009-12/jaaj-cbo112509,Criteria based on CT imaging after chemotherapy may help predict survival
2009-12/labr-nsr112409,New study released on World AIDS Day measures HIV anti-retroviral regimens' safety and efficacy
2009-12/plos-tst121009,Trial shows that sand playground surfaces reduce risk of arm fractures from falls
2009-12/sumc-bis120309,Brain imaging shows kids' PTSD symptoms linked to poor hippocampus function
2009-12/uoe-pab120909,"People affected by autism believe increase is 'real,' not diagnostic"
2009-12/uog-aci120209,Apathy common in dementia patients with brain changes
2009-12/w-ckt120709,Controversial kidney transplant technique could provide lifeline for very ill patients
2010-01/afri-bsa012510,Beyond sunglasses and baseball caps
2010-01/cumc-esd012010,"Even small dietary reductions in salt could mean fewer heart attacks, strokes and deaths"
2010-01/e-lsl012710,"Losing sleep, losing brain?"
2010-01/idso-sff012110,Study finds face masks and hand hygiene can help limit influenza's spread
2010-01/jhmi-hgh012610,Human growth hormone: Not a life extender after all?
2010-01/plos-tch010610,Tobacco company helped shape European policy system favoring corporate profits over public health
2010-01/tuhs-rdn012710,Researchers develop new tool for gene delivery
2010-01/uog-gbh012910,Grandpa's broken hip may mean weaker bones for his grandsons
2010-01/uomh-ria010810,Researchers identify an immune cell linked to inflammation and scarring in Graves' eye disease
2010-01/w-btc012610,Blood test can predict rheumatoid arthritis before symptoms arise
2010-01/w-hav011910,Heart attack victims who have ECGs in the field experience shorter time-to-treatment
2010-01/w-lsm010510,Liver stiffness measurements identify patients with rapid or slow fibrosis
